"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"8","URBAN COVER_FULL",7,25752.1807617271,0,1,0.99999007334292,-12869.0877245691,0.99999007334292
"7","SPEEDf_FULL",10,25775.221315444,23.0405537168153,9.92675561961602e-06,9.92665708011706e-06,-12877.6054392581,1
"2","SPEEDc_DIST FOREST",6,26113.4506960372,361.269934310028,3.55820139658251e-79,3.55816607553742e-79,-13050.7233558922,1
"3","URBAN COVER_DIST FOR",3,26130.4127828682,378.232021141066,7.37836558009061e-83,7.37829233758568e-83,-13062.2058223361,1
"6","SPEEDf_TRAFFIC",6,26354.7212378975,602.540476170343,1.44543324050869e-131,1.44541889218858e-131,-13171.3586268224,1
"4","SPEEDf_FOREST COVER",6,26363.3765359119,611.195774184776,1.90776094790714e-133,1.90774201021842e-133,-13175.6862758296,1
"1","DIST FOREST",2,26385.3989054794,633.218143752292,3.15084590177214e-138,3.15081462440536e-138,-13190.6991682042,1
"5","SPEEDf_EFFICIENCY",6,26396.067822743,643.88706101583,1.51950178978459e-140,1.51948670621139e-140,-13192.0319192451,1
